id,scenario,variant,expected,obtained,matched
few-shot-off,few_shot,without,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":false,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":false,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
few-shot-on,few_shot,with,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
schema-off,schema,without,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":false,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":false,""tool_correct"":true,""valid"":true}",True
schema-on,schema,with,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
tool-off,tool_usage,without,"{""complete"":false,""conflict_signaled"":false,""fallback"":false,""grounded"":false,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":false,""conflict_signaled"":false,""fallback"":false,""grounded"":false,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
tool-on,tool_usage,with,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":2,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":2,""schema"":true,""tool_correct"":true,""valid"":true}",True
one-tool,tool_sequence,one,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":2,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":2,""schema"":true,""tool_correct"":true,""valid"":true}",True
two-tools,tool_sequence,two_sequential,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":3,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":3,""schema"":true,""tool_correct"":true,""valid"":true}",True
evidence-insufficient,evidence,insufficient,"{""complete"":false,""conflict_signaled"":false,""fallback"":true,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":false,""conflict_signaled"":false,""fallback"":true,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
evidence-sufficient,evidence,sufficient,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
response-normal,timeout,normal,"{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}","{""complete"":true,""conflict_signaled"":false,""fallback"":false,""grounded"":true,""iterations"":1,""schema"":true,""tool_correct"":true,""valid"":true}",True
